Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
whitesedan,6700k,100,48,4.8,4.1,1.365,1.376,1,Enermax Liqtech 240S,x264 7.5hr (x60),L605G559,3200 @16-16-16-36-2T @ 1.355v,Asus z170 Impact,LLC Level 5,Yes,,
lays,6700k,100,48,4.8,4.1,1.38,1.376,0.8,1080mm Rad + Delid,P95 v28.8 Size 8 1hr,Malay L550C776,3600 16-16-16-36-2T @ 1.35v,ASRock z170 Formula,"LLC 1, SI Binned @ 4.8ghz",Yes,1.2,1.27
MgrBuddha,6700k,100,48,4.8,4.1,1.415,1.392,1,x61,x264 16T 7hr,Malay L537B128,Stock 3000 15-16-16-36 @ 1.35v,Asus z170 Extreme,"LLC Level 5, P95 v27.9 for 30 min but aborted due to temps",Yes,,
oparr,6700k,100,48,4.8,4.1,1.408,1.416,1,H100i GTX Delid Reseal,"x264 6hr (x50), Realbench 4hr, P95 v28.7 Blend 2hr",L536B198,3200 16-18-18-36 @ 1.35v,Asus z170 Gene,LLC Level 6,Yes,1.2,1.2
Rikuo,6700k,100,48,4.8,4.1,1.435,1.44,,Kraken x61,x264 10hr,Malay L527B622,3000 15-15-15 @ 1.35v,Asus z170 Hero,LLC Level 5,,,
Flattervieh,6700k,100,48,4.8,4.1,1.39,1.444,1,Kraken x61,OCCT 1hr,Malay L605F197,3000 15-17-17-35-2T @ 1.353v,Asus z170 Ranger,LLC Level 5,Yes,,
JySzE,6700k,100,48,4.8,4,1.415,1.454,1,"Custom Loop, 2 x 240mm, 1 x 120mm",x264 16T 5.5hr,L535B031,3000 15-17-17-35 @ 1.35v,Asus z170 Deluxe,LLC Level 7,Yes,,
Nikiz,6600k,100,48,4.8,3.9,1.37,1.36,1,H110i GT,Realbench 8hr,Malay L603F536,3000 15-17-17-39 @ 1.35v,Asus z170 A,,,,
whitesedan,6700k,100,48,4.8,3.9,1.36,1.37,1,Corsair H50,"x264 5hr, OCCT 1hr",L552C472,3200 16-18-18-36 @ 1.36v,MSI z170 M7,LLC Mode 1,Yes,,
Weber,6600k,100,48,4.8,3.9,1.425,1.392,,"H240x + MCR240-QP, Delid Reseat",x264 16T 8hr,Malay L524B346,2133 15-15-15-35-2T @ 1.2v,Asus z170 Deluxe,LLC Level 6,Yes,,
