cpu,bclk,core_mult,core_freq,cache_freq,vcore,fclk,batch,ram,mb
6600k,100,45,4.5,4.1,1.32,1, L524B315,2133 13-15-15-28 @ 1.2v,Asus z170m Plus
6700k,100,45,4.5,4.1,1.336,1,L606F306,2666 16-18-18-35 @ .2v,na
6700k,100,45,4.5,4.1,1.36,1,L531B269,2800 16-16-16-37 @ 1.2v,MSI z170 Gaming M5
6600k,100,45,4.5,4,1.28,1,L518C005,3000 15-17-17-35 @ 1.35v,Asus z170 Hero
6700k,100,45,4.5,4,1.371,, L523B380, 3000 15-15-15-35 @ 1.35v,Gigabyte z170 Gaming 7
6700k,100,45,4.5,4,1.411,, L519B875,2400 16-16-16-39-2T @ 1.2v,MSI z170 M5
6600k,100,45,4.5,3.9,1.312,1, L540B484,3000 18-21-21-40 @ 1.2v,MSI z170 Tomahawk
6700k,100,45,4.5,3.8,1.316,1,,2600 15-17-17-38 T2 @ 1.35v,ASRock z170 Extreme 4
6700k,100,45,4.5,4.4,1.299,1, L548B3990,"3000 15-16-1635 @ 1,.35v",Gigabyte z170 Gaming 6
6700k,100,45,4.5,4.3,1.31,1,X548B937,3200 16-16-16-35 @ 1.35v,Asus z170 Hero
6600k,100,45,4.5,3.5,1.296,0.8,,2666 14-14-14-36,Gigabye z170 D3H
6600k,100,44,4.4,4.2,1.248,1,,3200 15-17-17-35-1T @ 1.36v,Asus z170 AR
6600k,100,44,4.4,3.9,1.36,0.8,L521B645,2666 15-17-17-36 @ 1.2v,Asus z170 Pro Gaming
6600k,100.1,42,4.204,3.502,1.24,0.8, L524B406,2133 15-15-15-36 @ 1.2v,Gigabyte z170 XP-SLI
6300,102.66,38,3.9,3.9,1.2,,,3700 18-20-20-48 @ 1.5v,Asus z170 Extreme
6700k,101.1,49,4.95,4.5,1.44,0.804,,2133 15-15-15-35-2T @ 1.2v,Gigabyte z170 Gaming 3
6700k,100,49,4.9,4.5,1.488,1,,3000 15-17-17-35 @ 1.368v,Gigabyte z170 Gaming 7
6700k,101.6,48,4.851,4.2,1.408,,, 3000 15-15-15-35 @ 1.35v,Asus z170 Hero
6700k,100,48,4.8,4.7,1.424,, L527B622,3200 15-17-17-35 @ 1.35v,Asus z170 Pro Gaming
6700k,100,48,4.8,4.5,1.425,,,2667 15-17-17-35 @ 1.2v,Asus z170 Hero
6600k,100,48,4.8,4.3,1.425,1,,3200 16-18-18-36 @ 1.392,Asus z170 A
6600k,100,48,4.8,4.2,1.36,1,,2800 17-18-18-36 @ 1.3v,Asus z170 P
6700k,100,48,4.8,4.2,1.411,,L525B430,3200 16-18-18-36 @ 1.35v,Asus z170 Hero
6600k,100,47,4.7,4,1.408,0.8, L548B532,,Asus z170 Pro Gaming
6700k,100,47,4.7,4.6,1.408,1, L537B220,3466 16-17-17-32 @ 1.344v,Asus z170 Impact
6700k,100,46,4.6,4.6,1.3,, X554C412,2133 14-14-35,Asus z170 Plus
6700k,100,46,4.6,4.6,1.384,,L529B427,3200 16-18-18-36 @ 1.35v,Asus z170 Hero
6700k,100,46,4.6,4.4,1.384,1,, 2666 16-18-18-35-2T @ 1.2v,Asus z170 Pro Gaming
6700k,100,46,4.6,4,1.4,, L523B475, 3000 15-15-15-35 @ 1.35v,Asus z170 Deluxe
6600k,102,44,4.48,4.48,1.29,,,3180 16-16-16-36-2T @ 1.368v,Gigabyte z170 HD3P
6600k,100,40,4,4,1.188,,,2400 c14,Gigabyte z170 Gaming 5
6600k,101.5,42,4.263,4.263,1.296,1,,3145 15-18-18-36-2T @ 1.4v,ASRock z170 Extreme 4+
